,Apr-25 (mb),2991603593,3005992431,3019858340,3037885950,3051482952,3073819737,3088209048,3102831898,3117565686,3132275148,3146908306
USER 154,,,,,0.1875,9.5498,5.7656,8.5859,3.2646,0.6279,54.8984,
USER 155,257.3662,9538.5928,21358.0469,23138.3535,31699.0488,14689.3086,8006.6846,24086.5713,10660.4307,23160.4326,14232.5488,11690.5352
USER 156,,10240.1143,5526.208,10240,10240,9921.3193,10240,6787.0127,2384.2676,6049.1953,3804.6172,2900.8809
USER 157,,5064.7578,2196.6035,6094.1982,5429.7812,6434.2051,2941.3828,6890.7539,5016.7842,6736.585,3983.2246,3136.4785
USER 158,,,8892.418,0.0654,,,,,,,,
USER 159,6855.6719,4099.3857,9548.3135,10420.0273,10240,10018.1768,8533.6504,10558.0752,10240,7409.2529,7846.5801,4706.5195
USER 160,7676.7207,9291.8877,3782.7539,5595.1768,5284.5498,8482.46,3615.1777,6751.6357,6676.5957,4465.2939,8784.2666,6354.6572
USER 161,1238.2373,597.9492,1608.5371,1292.082,1324.3184,1811.1426,1449.998,1524.4951,1432.1182,1206.9961,1557.124,989.4863
USER 162,10423.8018,6438.8457,6625.3643,13642.792,17809.3604,7572.9619,9008.8359,11132.1719,27824.834,14689.3809,10092.0635,22178.7334
USER 163,7125.3203,8372.9482,19679.3467,8719.7275,19334.4111,9853.7832,11000.1455,10502.5674,9888.1699,16049.8887,14643.0029,24326.9385
USER 164,3680.9902,1510.7217,5781.7061,9378.8975,13224.9375,11964.3613,9807.0889,21974.2188,7690.6787,10026.1855,9931.3896,12606.0918
USER 165,3323.9951,6701.8047,7356.6123,5079.6484,4960.0781,3142.3115,1626.6045,3169.6074,2675.7256,5504.8682,5125.9453,2289.9023
USER 166,8928.2168,11770.333,13318.0068,12060.666,9813.6182,8571.166,15156.7793,17035.627,10828.9941,11110.7637,25350.1064,
USER 167,10240,9197.3477,8812.2295,5892.8818,7273.3457,6184.877,7609.4307,7451.8672,7816.0391,8227.2109,9919.6797,10305.5391
USER 168,1492.1504,2474.54,2736.1299,3620.5635,3645.1885,4558.1729,6797.3945,2985.8066,4137.7266,1370.6455,3962.8799,2221.1367
USER 169,16154.1797,10240,10239.9971,10240,10240,10239.9834,10240,10239.999,10239.9893,10239.9932,6643.8379,9274.8018
USER 170,7142.0029,8899.0391,8170.4727,8636.6172,8878.9121,9396.6875,9633.8154,5318.3252,9073.0107,8254.6221,2864.46,6513.6709
USER 171,4095.8867,3089.1719,2696.4766,3343.8604,3056.459,4937.0137,4540.3545,3527.5322,2806.3115,3456.6914,5802.6143,2553.2246
USER 172,10073.4941,10240,10240,10239.9961,10239.9268,6143.6611,9825.8545,9743.168,10495.5225,5161.002,5258.1709,5440.8047
USER 173,10106.2295,11449.0156,9137.0176,8393.2266,12845.7744,13638.4404,13720.5059,12670.1777,12205.8799,11434.0371,15295.6025,14454.4717
USER 174,6427.6074,3574.7764,5160.5244,4737.8408,10240.001,10240,8997.5576,10021.7793,11620.7588,10240.0186,11985.4795,20756.8623
USER 175,2181.249,1338.7002,1642.4971,2495.9775,4782.3496,3762.1338,1938.4033,1463.6592,2641.9775,1973.7852,1897.0742,1140.3975
USER 176,2327.1758,3839.0439,1733.1416,,3466.6436,15458.875,5137.5615,4808.9268,5989.7285,4522.0908,4036.04,3810.1777
USER 177,6119.6875,6191.2734,9908.2334,10571.7666,10239.9375,10079.9629,7181.7012,4471.0391,4209.4717,4983.9492,3837.9902,6975.1816
USER 178,20480,20479.9961,20480,5103.8398,,,,,,,,
USER 179,7485.5283,5695.1377,6435.3809,7133.9883,8692.2695,10240,5263.8438,10263.7158,10240,10240,10240,10240
USER 180,,,,,,,,32816.5469,22616.8613,21021.5928,30443.3604,27135.1357
USER 181,9556.4814,6246.542,9390.2803,9236.0908,7087.6133,9784.1494,10240,9972.5957,10507.4043,10240,10570.3066,10240
USER 182,3923.5225,6215.4004,8228.7998,8510.5586,9613.0088,7581.7021,7713.252,9220.6152,6563.8896,7509.374,6819.6924,11304.7402
USER 183,28102.3691,44793.3096,22424.4277,9628.9658,26759.8623,19436.0479,4481.7324,42002.6631,43273.0908,109547.3428,119380.4688,59375.1406
USER 184,26649.3525,14002.4756,9611.0059,18516.4453,10125.957,3839.4766,5696,4658.7383,10538.7217,4544.2256,4686.2627,3251.04
USER 185,8942.0234,4993.2217,9224.4805,7384.377,12134.6963,14810.0986,12391.5996,9442.7852,7891.8564,,,
USER 186,7842.0186,2691.9482,4290.9854,8725.8594,4584.5176,2900.2666,5050.8848,1580.4131,4109.749,2064.2734,4363.5713,286.9424
USER 187,4200.2305,3218.7979,5432.6982,4805.6816,4329.4268,8469.8936,3789.5371,3773.9219,3970.3477,487.1689,18464.7979,14264.5479
USER 188,13505.8926,10389.9502,20105.8428,9794.5557,7904.1377,18107.3838,28844.5654,40278.7832,26696.8877,22077.1826,19363.8789,16822.8359
USER 189,26520.7627,20752.2217,24627.8594,12527.1035,23903.0557,42907.0762,15784.7646,22621.0859,15271.7715,31011.9775,13685.2578,18868.5723
USER 190,3190.3213,3326.8213,3316.2881,11748.748,8813.8252,8615.2471,8405.8799,4998.1221,4401.5244,6198.2764,6756.4961,8614.291
USER 191,10240,9283.4229,6840.1084,7135.6641,4715.4404,4076.2832,6054.0947,9091.8613,5879.0449,1526.3457,3254.1377,197.6621
USER 192,7249.0742,6190.6172,15619.9229,15861.2656,3040.0947,,,,,,,
USER 193,,,,,,,,,,,1438.458,30718.999
USER 194,4322.1641,8613.0264,4680.7656,4404.5547,4858.0137,5542.9883,8316.8574,10333.9014,4703.667,6993.9795,6310.3506,10240
